id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
864,Yeast Infection,Reproductive,Acute,Adult,"itching, irritation, vaginal discharge, pain during urination","Acute case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Adult.",Prescription medication might be required.
865,Motion Sickness,Neurological,Moderate,Child,"nausea, vomiting, dizziness, cold sweats","Moderate case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Child.",Seek immediate medical attention.
866,Influenza B,Respiratory,Chronic,Child,"fever, chills, muscle aches, cough, fatigue","Chronic case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Child.",Avoid triggers like spicy food or allergens.
867,Constipation,Digestive,Severe,General,"infrequent bowel movements, hard stools, straining, fatigue, dehydration",Severe case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: General.,Rest and hydration recommended.
868,Influenza B,Respiratory,Acute,Male,"fever, chills, muscle aches, cough, fatigue","Acute case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Male.",Avoid triggers like spicy food or allergens.
869,Constipation,Digestive,Moderate,Adult,"infrequent bowel movements, hard stools, straining",Moderate case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
870,Hemorrhoids,Digestive,Chronic,General,"rectal bleeding, itching, pain, swelling",Chronic case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: General.,Home remedies can alleviate symptoms.
871,Asthma,Respiratory,Chronic,Male,"wheezing, shortness of breath, chest tightness, coughing",Chronic case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Male.,Home remedies can alleviate symptoms.
872,Menstrual Cramps,Reproductive,Chronic,Child,"throbbing pain in lower abdomen, nausea, headache",Chronic case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Child.,Maintain good hygiene.
873,Canker Sore,Dental,Chronic,Child,"small ulcer in mouth, pain, difficulty eating","Chronic case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Child.",Avoid triggers like spicy food or allergens.
874,Eczema,Skin,Mild,Adult,"dry,  itchy skin","Mild case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Adult.",Home remedies can alleviate symptoms.
875,Fever,General,Acute,Female,"elevated body temperature, sweating, chills, headache","Acute case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Female.",Prescription medication might be required.
876,Toothache,Dental,Acute,Elderly,"tooth pain, swelling around tooth, fever, drainage",Acute case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Elderly.,Rest and hydration recommended.
877,Eczema,Skin,Severe,Female,"dry, itchy skin, redness, cracked skin, fatigue, dehydration","Severe case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Female.",Prescription medication might be required.
878,Sinusitis,Respiratory,Acute,Male,"facial pain, thick nasal discharge, headache, cough",Acute case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Male.,Seek immediate medical attention.
879,Dehydration,Metabolic,Acute,Male,"extreme thirst, dry mouth, dark urine, fatigue",Acute case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: Male.,Prescription medication might be required.
880,Bronchitis,Respiratory,Moderate,Child,"cough with mucus, fatigue, shortness of breath, chest discomfort",Moderate case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Child.,Monitor symptoms closely.
881,Bronchitis,Respiratory,Acute,Elderly,"cough with mucus, fatigue, shortness of breath, chest discomfort",Acute case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Elderly.,Home remedies can alleviate symptoms.
882,Acid Reflux,Digestive,Moderate,Adult,"heartburn, chest pain, regurgitation, difficulty swallowing",Moderate case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
883,Dehydration,Metabolic,Acute,General,"extreme thirst, dry mouth, dark urine, fatigue",Acute case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: General.,Monitor symptoms closely.
884,Viral Pharyngitis,Respiratory,Severe,Child,"sore throat, scratchy throat, difficulty swallowing, fatigue, dehydration","Severe case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Child.",Over-the-counter medication may help.
885,Type 2 Diabetes,Metabolic,Acute,Female,"increased thirst, frequent urination, hunger, fatigue",Acute case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Female.,Over-the-counter medication may help.
886,Sunburn,Skin,Mild,Adult,"red skin,  pain",Mild case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Adult.,Over-the-counter medication may help.
887,Influenza B,Respiratory,Chronic,Child,"fever, chills, muscle aches, cough, fatigue","Chronic case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Child.",Home remedies can alleviate symptoms.
888,Bronchitis,Respiratory,Chronic,Adult,"cough with mucus, fatigue, shortness of breath, chest discomfort",Chronic case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Adult.,Maintain good hygiene.
889,Laryngitis,Respiratory,Severe,Adult,"hoarseness, weak voice, sore throat, dry cough, fatigue, dehydration","Severe case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Adult.",Prescription medication might be required.
890,Sinusitis,Respiratory,Chronic,Elderly,"facial pain, thick nasal discharge, headache, cough",Chronic case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Elderly.,Prescription medication might be required.
891,Bunion,Musculoskeletal,Chronic,Child,"bump on big toe joint, redness, pain, swelling",Chronic case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
892,Nosebleed,General,Acute,Child,"bleeding from nose, dry nasal membranes","Acute case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Child.",Home remedies can alleviate symptoms.
893,Dandruff,Skin,Chronic,General,"flaking scalp, itching, dry skin",Chronic case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: General.,Home remedies can alleviate symptoms.
894,Gingivitis,Dental,Moderate,Female,"swollen gums, bleeding gums, bad breath, receding gums",Moderate case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Female.,Avoid triggers like spicy food or allergens.
895,Gingivitis,Dental,Severe,Female,"swollen gums, bleeding gums, bad breath, receding gums, fatigue, dehydration",Severe case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Female.,Home remedies can alleviate symptoms.
896,Type 2 Diabetes,Metabolic,Acute,Female,"increased thirst, frequent urination, hunger, fatigue",Acute case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Female.,Over-the-counter medication may help.
897,Muscle Strain,Musculoskeletal,Chronic,Child,"sudden pain, swelling, muscle weakness, bruising",Chronic case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Child.,Seek immediate medical attention.
898,Cold Sore,Skin,Chronic,Elderly,"tingling, blisters on lip, pain, itching",Chronic case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Elderly.,Over-the-counter medication may help.
899,Influenza B,Respiratory,Chronic,Child,"fever, chills, muscle aches, cough, fatigue","Chronic case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Child.",Monitor symptoms closely.
900,Indigestion,Digestive,Mild,Female,"upper abdominal pain,  bloating",Mild case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Female.,Home remedies can alleviate symptoms.
901,Fever,General,Chronic,Male,"elevated body temperature, sweating, chills, headache","Chronic case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Male.",Prescription medication might be required.
902,Bunion,Musculoskeletal,Mild,Female,"bump on big toe joint,  redness",Mild case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Female.,Rest and hydration recommended.
903,Strep Throat,Respiratory,Chronic,Male,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Male.,Rest and hydration recommended.
904,Canker Sore,Dental,Acute,General,"small ulcer in mouth, pain, difficulty eating","Acute case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: General.",Home remedies can alleviate symptoms.
905,Bronchitis,Respiratory,Mild,General,"cough with mucus,  fatigue",Mild case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: General.,Maintain good hygiene.
906,Asthma,Respiratory,Chronic,Child,"wheezing, shortness of breath, chest tightness, coughing",Chronic case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Child.,Maintain good hygiene.
907,Asthma,Respiratory,Mild,Elderly,"wheezing,  shortness of breath",Mild case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Elderly.,Apply ice or heat to the affected area.
908,Toothache,Dental,Mild,Female,"tooth pain,  swelling around tooth",Mild case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
